Chemistry,Molecule,Potential (kcal/mol),Kinetic (kcal/mol),vdW (kcal/mol),Electrostatic (kcal/mol),vdW 1-4 (kcal/mol),Electrostatic 1-4 (kcal/mol),Dihedral (kcal/mol),Angle (kcal/mol),Bond (kcal/mol)
polyamide,"poly(4-(4-aminophenoxy)aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2H-indene-5-carboxylic acid)",469.9677,0.0,80.7158,-113.8122,77.9452,-91.6487,39.5765,219.026,258.165
polycarbonate_phosgene,poly(4-[(4-hydroxyphenyl)methyl]phenol-co-Carbonyl dichloride),270.4301,0.0,-0.0032,-23.3068,53.5138,-28.5752,9.6029,86.8438,172.3549
polycarbonate_phosgene,"poly(4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxy-3,5-dimethylphenyl)propan-2-yl]-2,6-dimethylphenol-co-Carbonyl dichloride)",256.9724,0.0,-0.0079,309.3017,62.8413,-457.9103,9.2455,147.0793,186.4228
polycarbonate_phosgene,"poly(4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol-co-Carbonyl dichloride)",274.3059,0.0,-0.0052,164.4543,64.5784,-250.9785,3.9974,110.877,181.3827
polycarbonate_phosgene,poly(4-[1-(4-hydroxy-3-methylphenyl)cyclohexyl]-2-methylphenol-co-Carbonyl dichloride),393.3988,0.0,-0.0072,-166.7888,74.1028,121.3599,20.6734,160.5598,183.4989
polycarbonate_phosgene,poly(4-[1-(4-hydroxyphenyl)-1-phenylethyl]phenol-co-Carbonyl dichloride),326.3815,0.0,0.0195,-85.0692,65.8767,3.4834,10.2928,129.5533,202.2251
polycarbonate_phosgene,poly(4-[1-(4-hydroxyphenyl)cycloheptyl]phenol-co-Carbonyl dichloride),317.0711,0.0,-0.0065,-133.9823,74.9564,19.3292,19.6079,155.249,181.9174
polycarbonate_phosgene,poly(4-[1-(4-hydroxyphenyl)cyclohexyl]phenol-co-Carbonyl dichloride),62575678.3725,0.0,62575346.0745,-137.4309,75.8918,46.3341,14.6873,140.2579,181.7449
polycarbonate_phosgene,"poly(4-[2,2-dichloro-1-(4-hydroxyphenyl)ethenyl]phenol-co-Carbonyl dichloride)",929111.7182,0.0,928852.8874,-68.8071,61.0317,-25.3638,29.6657,89.1222,173.3408
polyamide,"poly(4-[2-(4-aminophenyl)-1,1,1,3,3,3-hexafluoropropan-2-yl]aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2H-indene-5-carboxylic acid)",439.4044,0.0,110.6835,104.3845,90.5882,-400.3916,26.0961,243.5368,264.5068
polycarbonate_phosgene,"poly(4-[2-(4-hydroxy-3,5-dimethylphenyl)propan-2-yl]-2,6-dimethylphenol-co-Carbonyl dichloride)",284.1793,0.0,-0.0067,-155.5546,61.0205,45.7573,7.4253,144.4781,181.0593
polycarbonate_phosgene,poly(4-[2-(4-hydroxy-3-methylphenyl)propan-2-yl]-2-methylphenol-co-Carbonyl dichloride),13857375.0154,0.0,13857104.2011,-157.5995,72.5939,49.8816,3.2276,123.7033,179.2051
polycarbonate_phosgene,poly(4-[2-(4-hydroxy-3-propan-2-ylphenyl)propan-2-yl]-2-propan-2-ylphenol-co-Carbonyl dichloride),305.0757,0.0,-0.0081,-94.3682,64.0644,-23.9791,10.4996,164.9405,183.9265
polycarbonate_phosgene,poly(4-[2-(4-hydroxyphenyl)butan-2-yl]phenol-co-Carbonyl dichloride),6468.2637,0.0,6213.2518,-80.2417,62.4779,-30.3205,6.8761,117.6524,178.5677
polycarbonate_phosgene,poly(4-[2-(4-hydroxyphenyl)pentan-2-yl]phenol-co-Carbonyl dichloride),274.7396,0.0,-2.3846,-66.7427,54.1453,-29.4995,12.5998,126.7682,179.853
polycarbonate_phosgene,poly(4-[2-(4-hydroxyphenyl)propan-2-yl]phenol-co-Carbonyl dichloride),2693.9269,0.0,2461.6843,-56.7292,62.8765,-61.4216,3.6219,106.5312,177.3639
polycarbonate_phosgene,poly(4-[4-(4-hydroxy-3-methylphenyl)heptan-4-yl]-2-methylphenol-co-Carbonyl dichloride),2210.1511,0.0,1835.5402,-155.7135,58.5263,101.6893,14.9234,168.6175,186.5676
polycarbonate_phosgene,poly(4-[4-(4-hydroxyphenyl)heptan-4-yl]phenol-co-Carbonyl dichloride),31367550.1212,0.0,31367248.5593,-129.5511,77.6593,10.3594,11.6119,149.6509,182.7333
polyamide,"poly(4-[4-[2-[4-(4-aminophenoxy)phenyl]propan-2-yl]phenoxy]aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2H-indene-5-carboxylic acid)",10104466.3673,0.0,10104066.8897,-186.5859,107.9677,-192.2937,36.6001,316.573,316.1709
polyamide,"poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-4-[2-(4-carboxyphenyl)-1,1,1,3,3,3-hexafluoropropan-2-yl]benzoic acid)",559.2511,0.0,7.8308,340.8895,136.3407,-792.2225,90.4497,399.1213,376.8418
polyamide,"poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-5-tert-butylbenzene-1,3-dicarboxylic acid)",27540497.065,0.0,27540020.9851,19.92,129.4368,-468.5282,72.0712,370.8855,349.3092
polyamide,"poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-Benzene-1,3-dicarboxylic acid)",520.0714,0.0,4.4527,2.1007,114.899,-365.2168,84.3849,335.266,344.185
polyamide,poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-Terephthalic acid),616.0232,0.0,57.5447,-58.4751,116.7618,-264.6545,85.3372,335.1586,344.3505
