,0
442,NO_IUPAC_NAME
443,NO_IUPAC_NAME
445,BAD_NUM_FN_GRPS
452,ILLEGAL_ATOMS
453,ILLEGAL_ATOMS
454,NO_IUPAC_NAME
456,NO_IUPAC_NAME
458,NO_IUPAC_NAME
462,BAD_NUM_FN_GRPS
467,BAD_NUM_FN_GRPS
468,ILLEGAL_ATOMS
475,NO_IUPAC_NAME
478,BAD_NUM_MONOMERS
480,NO_IUPAC_NAME
482,ILLEGAL_ATOMS
484,ILLEGAL_ATOMS
485,ILLEGAL_ATOMS
486,NO_IUPAC_NAME
488,NO_IUPAC_NAME
492,ILLEGAL_ATOMS
494,BAD_NUM_FN_GRPS
498,NO_IUPAC_NAME
500,NO_IUPAC_NAME
502,ILLEGAL_ATOMS
504,BAD_NUM_FN_GRPS
505,BAD_NUM_FN_GRPS
506,BAD_NUM_FN_GRPS
509,ILLEGAL_ATOMS
511,NO_IUPAC_NAME
514,ILLEGAL_ATOMS
516,BAD_NUM_MONOMERS
517,BAD_NUM_FN_GRPS
519,NO_IUPAC_NAME
520,ILLEGAL_ATOMS
521,BAD_NUM_FN_GRPS
522,BAD_NUM_FN_GRPS
523,NO_IUPAC_NAME
526,NO_IUPAC_NAME
527,BAD_NUM_MONOMERS
530,NO_IUPAC_NAME
532,ILLEGAL_ATOMS
535,NO_IUPAC_NAME
536,NO_IUPAC_NAME
537,NO_IUPAC_NAME
538,NO_IUPAC_NAME
539,ILLEGAL_ATOMS
544,NO_IUPAC_NAME
547,ILLEGAL_ATOMS
548,ILLEGAL_ATOMS
549,NO_IUPAC_NAME
551,NO_IUPAC_NAME
554,ILLEGAL_ATOMS
558,ILLEGAL_ATOMS
559,ILLEGAL_ATOMS
562,BAD_NUM_FN_GRPS
563,ILLEGAL_ATOMS
567,NO_IUPAC_NAME
570,NO_IUPAC_NAME
574,BAD_NUM_MONOMERS
578,ILLEGAL_ATOMS
581,NO_RXN_TEMPLATE_MATCH
582,BAD_NUM_MONOMERS
586,BAD_NUM_MONOMERS
591,NO_RXN_TEMPLATE_MATCH
595,NO_RXN_TEMPLATE_MATCH
598,NO_RXN_TEMPLATE_MATCH
599,BAD_NUM_MONOMERS
602,NO_IUPAC_NAME
603,NO_RXN_TEMPLATE_MATCH
605,NO_RXN_TEMPLATE_MATCH
609,NO_IUPAC_NAME
613,NO_RXN_TEMPLATE_MATCH
619,NO_RXN_TEMPLATE_MATCH
620,NO_RXN_TEMPLATE_MATCH
623,BAD_NUM_MONOMERS
624,NO_RXN_TEMPLATE_MATCH
626,BAD_NUM_MONOMERS
637,BAD_NUM_MONOMERS
638,NO_RXN_TEMPLATE_MATCH
641,BAD_NUM_MONOMERS
642,BAD_NUM_MONOMERS
643,NO_RXN_TEMPLATE_MATCH
644,NO_RXN_TEMPLATE_MATCH
645,BAD_NUM_MONOMERS
647,BAD_NUM_MONOMERS
649,BAD_NUM_MONOMERS
650,NO_RXN_TEMPLATE_MATCH
652,BAD_NUM_FN_GRPS
653,BAD_NUM_MONOMERS
654,NO_RXN_TEMPLATE_MATCH
656,NO_RXN_TEMPLATE_MATCH
657,BAD_NUM_MONOMERS
659,BAD_NUM_MONOMERS
663,NO_RXN_TEMPLATE_MATCH
669,NO_RXN_TEMPLATE_MATCH
670,BAD_NUM_MONOMERS
671,ILLEGAL_ATOMS
674,NO_RXN_TEMPLATE_MATCH
675,NO_RXN_TEMPLATE_MATCH
678,BAD_NUM_MONOMERS
679,ILLEGAL_ATOMS
680,NO_RXN_TEMPLATE_MATCH
682,BAD_NUM_MONOMERS
685,NO_IUPAC_NAME
686,BAD_NUM_FN_GRPS
687,BAD_NUM_FN_GRPS
690,BAD_NUM_MONOMERS
691,BAD_NUM_FN_GRPS
692,BAD_NUM_MONOMERS
696,BAD_NUM_MONOMERS
702,BAD_NUM_MONOMERS
703,BAD_NUM_MONOMERS
704,NO_RXN_TEMPLATE_MATCH
705,NO_RXN_TEMPLATE_MATCH
712,BAD_NUM_MONOMERS
713,BAD_NUM_FN_GRPS
714,ILLEGAL_ATOMS
715,NO_RXN_TEMPLATE_MATCH
721,ILLEGAL_ATOMS
722,BAD_NUM_MONOMERS
724,BAD_NUM_MONOMERS
727,BAD_NUM_MONOMERS
728,BAD_NUM_MONOMERS
729,BAD_NUM_MONOMERS
730,BAD_NUM_MONOMERS
734,BAD_NUM_MONOMERS
735,ILLEGAL_ATOMS
736,ILLEGAL_ATOMS
737,BAD_NUM_MONOMERS
739,NO_RXN_TEMPLATE_MATCH
740,BAD_NUM_MONOMERS
741,BAD_NUM_MONOMERS
744,BAD_NUM_MONOMERS
752,NO_IUPAC_NAME
753,BAD_NUM_MONOMERS
754,BAD_NUM_FN_GRPS
756,BAD_NUM_MONOMERS
759,BAD_NUM_MONOMERS
760,NO_RXN_TEMPLATE_MATCH
761,BAD_NUM_MONOMERS
762,BAD_NUM_FN_GRPS
764,BAD_NUM_MONOMERS
768,BAD_NUM_FN_GRPS
769,BAD_NUM_MONOMERS
770,NO_RXN_TEMPLATE_MATCH
777,NO_RXN_TEMPLATE_MATCH
780,BAD_NUM_FN_GRPS
781,NO_RXN_TEMPLATE_MATCH
784,NO_RXN_TEMPLATE_MATCH
785,BAD_NUM_MONOMERS
786,BAD_NUM_MONOMERS
787,ILLEGAL_ATOMS
788,BAD_NUM_MONOMERS
789,BAD_NUM_MONOMERS
791,BAD_NUM_MONOMERS
793,ILLEGAL_ATOMS
794,BAD_NUM_MONOMERS
797,BAD_NUM_FN_GRPS
799,NO_RXN_TEMPLATE_MATCH
800,BAD_NUM_MONOMERS
802,BAD_NUM_MONOMERS
807,BAD_NUM_MONOMERS
808,BAD_NUM_FN_GRPS
809,BAD_NUM_MONOMERS
810,BAD_NUM_MONOMERS
811,NO_IUPAC_NAME
812,NO_RXN_TEMPLATE_MATCH
813,ILLEGAL_ATOMS
815,NO_IUPAC_NAME
819,BAD_NUM_MONOMERS
821,BAD_NUM_MONOMERS
823,NO_RXN_TEMPLATE_MATCH
826,BAD_NUM_MONOMERS
827,BAD_NUM_MONOMERS
829,NO_RXN_TEMPLATE_MATCH
830,NO_RXN_TEMPLATE_MATCH
831,BAD_NUM_MONOMERS
833,BAD_NUM_MONOMERS
834,ILLEGAL_ATOMS
837,NO_RXN_TEMPLATE_MATCH
838,NO_RXN_TEMPLATE_MATCH
840,BAD_NUM_MONOMERS
842,NO_RXN_TEMPLATE_MATCH
845,BAD_NUM_MONOMERS
846,NO_IUPAC_NAME
850,BAD_NUM_MONOMERS
853,NO_RXN_TEMPLATE_MATCH
854,NO_RXN_TEMPLATE_MATCH
856,BAD_NUM_FN_GRPS
857,BAD_NUM_MONOMERS
866,BAD_NUM_MONOMERS
874,BAD_NUM_MONOMERS
876,BAD_NUM_MONOMERS
877,BAD_NUM_MONOMERS
879,ILLEGAL_ATOMS
883,BAD_NUM_MONOMERS
884,BAD_NUM_MONOMERS
887,BAD_NUM_FN_GRPS
893,BAD_NUM_MONOMERS
894,BAD_NUM_MONOMERS
895,NO_RXN_TEMPLATE_MATCH
899,NO_IUPAC_NAME
900,NO_RXN_TEMPLATE_MATCH
901,BAD_NUM_MONOMERS
902,NO_RXN_TEMPLATE_MATCH
903,BAD_NUM_MONOMERS
904,BAD_NUM_MONOMERS
906,BAD_NUM_FN_GRPS
908,BAD_NUM_MONOMERS
909,NO_RXN_TEMPLATE_MATCH
913,BAD_NUM_FN_GRPS
914,BAD_NUM_FN_GRPS
917,BAD_NUM_MONOMERS
918,BAD_NUM_MONOMERS
921,BAD_NUM_MONOMERS
922,NO_RXN_TEMPLATE_MATCH
924,NO_RXN_TEMPLATE_MATCH
925,BAD_NUM_MONOMERS
926,NO_RXN_TEMPLATE_MATCH
927,NO_RXN_TEMPLATE_MATCH
928,NO_RXN_TEMPLATE_MATCH
929,NO_IUPAC_NAME
935,NO_RXN_TEMPLATE_MATCH
938,ILLEGAL_ATOMS
942,BAD_NUM_MONOMERS
943,NO_RXN_TEMPLATE_MATCH
947,BAD_NUM_FN_GRPS
948,NO_RXN_TEMPLATE_MATCH
949,NO_RXN_TEMPLATE_MATCH
951,NO_RXN_TEMPLATE_MATCH
952,NO_RXN_TEMPLATE_MATCH
953,NO_RXN_TEMPLATE_MATCH
955,BAD_NUM_MONOMERS
957,NO_RXN_TEMPLATE_MATCH
962,NO_RXN_TEMPLATE_MATCH
964,ILLEGAL_ATOMS
965,BAD_NUM_MONOMERS
967,NO_RXN_TEMPLATE_MATCH
971,BAD_NUM_MONOMERS
972,BAD_NUM_MONOMERS
973,BAD_NUM_MONOMERS
975,NO_RXN_TEMPLATE_MATCH
976,BAD_NUM_MONOMERS
979,BAD_NUM_FN_GRPS
981,BAD_NUM_MONOMERS
984,BAD_NUM_MONOMERS
985,BAD_NUM_MONOMERS
988,NO_RXN_TEMPLATE_MATCH
989,ILLEGAL_ATOMS
990,BAD_NUM_MONOMERS
992,ILLEGAL_ATOMS
993,BAD_NUM_MONOMERS
995,BAD_NUM_MONOMERS
996,NO_RXN_TEMPLATE_MATCH
997,ILLEGAL_ATOMS
998,BAD_NUM_MONOMERS
1000,BAD_NUM_MONOMERS
1001,BAD_NUM_MONOMERS
1003,NO_RXN_TEMPLATE_MATCH
1005,NO_RXN_TEMPLATE_MATCH
1008,BAD_NUM_MONOMERS
1009,NO_RXN_TEMPLATE_MATCH
1010,NO_RXN_TEMPLATE_MATCH
1012,NO_RXN_TEMPLATE_MATCH
1013,ILLEGAL_ATOMS
1014,BAD_NUM_MONOMERS
1015,BAD_NUM_MONOMERS
1016,BAD_NUM_MONOMERS
1017,BAD_NUM_MONOMERS
1018,BAD_NUM_MONOMERS
1020,BAD_NUM_MONOMERS
1022,BAD_NUM_MONOMERS
1025,NO_RXN_TEMPLATE_MATCH
1027,BAD_NUM_MONOMERS
1028,NO_RXN_TEMPLATE_MATCH
1029,BAD_NUM_FN_GRPS
1031,NO_RXN_TEMPLATE_MATCH
1032,NO_IUPAC_NAME
1035,ILLEGAL_ATOMS
1039,BAD_NUM_MONOMERS
1040,BAD_NUM_MONOMERS
1041,ILLEGAL_ATOMS
1044,BAD_NUM_MONOMERS
1047,NO_RXN_TEMPLATE_MATCH
1048,BAD_NUM_MONOMERS
1049,BAD_NUM_MONOMERS
1050,BAD_NUM_MONOMERS
1051,BAD_NUM_MONOMERS
1056,BAD_NUM_MONOMERS
1059,BAD_NUM_MONOMERS
1061,ILLEGAL_ATOMS
1062,BAD_NUM_MONOMERS
1063,NO_RXN_TEMPLATE_MATCH
1067,BAD_NUM_FN_GRPS
1068,BAD_NUM_MONOMERS
1069,BAD_NUM_MONOMERS
1070,NO_RXN_TEMPLATE_MATCH
1071,NO_IUPAC_NAME
1074,BAD_NUM_MONOMERS
1075,BAD_NUM_MONOMERS
1081,BAD_NUM_MONOMERS
1086,BAD_NUM_FN_GRPS
1087,BAD_NUM_FN_GRPS
1092,BAD_NUM_MONOMERS
1095,NO_RXN_TEMPLATE_MATCH
1100,BAD_NUM_FN_GRPS
1101,NO_RXN_TEMPLATE_MATCH
1102,ILLEGAL_ATOMS
1104,BAD_NUM_MONOMERS
1105,BAD_NUM_MONOMERS
1106,NO_RXN_TEMPLATE_MATCH
1108,BAD_NUM_MONOMERS
1109,NO_RXN_TEMPLATE_MATCH
1110,BAD_NUM_FN_GRPS
1113,BAD_NUM_MONOMERS
1119,BAD_NUM_FN_GRPS
1120,BAD_NUM_MONOMERS
1126,NO_IUPAC_NAME
1128,NO_IUPAC_NAME
1130,NO_IUPAC_NAME
1136,ILLEGAL_ATOMS
1139,ILLEGAL_ATOMS
1140,ILLEGAL_ATOMS
1143,NO_IUPAC_NAME
1150,NO_IUPAC_NAME
1151,ILLEGAL_ATOMS
1154,ILLEGAL_ATOMS
1155,ILLEGAL_ATOMS
1158,NO_IUPAC_NAME
1162,NO_IUPAC_NAME
1165,NO_IUPAC_NAME
1167,ILLEGAL_ATOMS
1168,NO_IUPAC_NAME
1171,ILLEGAL_ATOMS
1175,ILLEGAL_ATOMS
1181,ILLEGAL_ATOMS
1182,NO_IUPAC_NAME
1184,BANNED_MONOMER
1188,NO_IUPAC_NAME
1194,ILLEGAL_ATOMS
1199,NO_IUPAC_NAME
1204,ILLEGAL_ATOMS
1206,NO_IUPAC_NAME
1211,ILLEGAL_ATOMS
1212,ILLEGAL_ATOMS
1215,NO_IUPAC_NAME
1217,ILLEGAL_ATOMS
1222,ILLEGAL_ATOMS
1224,NO_IUPAC_NAME
1233,NO_IUPAC_NAME
1235,ILLEGAL_ATOMS
1236,ILLEGAL_ATOMS
1242,NO_IUPAC_NAME
1243,NO_IUPAC_NAME
1247,ILLEGAL_ATOMS
1254,ILLEGAL_ATOMS
1255,NO_IUPAC_NAME
1257,ILLEGAL_ATOMS
