,0
413,BAD_NUM_MONOMERS
414,BAD_NUM_MONOMERS
417,BAD_NUM_MONOMERS
418,BAD_NUM_MONOMERS
419,BAD_NUM_FN_GRPS
422,BAD_NUM_MONOMERS
423,BAD_NUM_MONOMERS
424,BAD_NUM_MONOMERS
427,BAD_NUM_MONOMERS
428,BAD_NUM_MONOMERS
433,BAD_NUM_MONOMERS
435,BAD_NUM_MONOMERS
436,BANNED_MONOMER
444,ILLEGAL_ATOMS
445,BAD_NUM_MONOMERS
446,BAD_NUM_MONOMERS
447,ILLEGAL_ATOMS
448,BAD_NUM_MONOMERS
449,BAD_NUM_MONOMERS
450,BAD_NUM_MONOMERS
451,ILLEGAL_ATOMS
452,BAD_NUM_MONOMERS
454,BAD_NUM_FN_GRPS
456,BAD_NUM_MONOMERS
459,BAD_NUM_MONOMERS
460,BAD_NUM_FN_GRPS
461,ILLEGAL_ATOMS
465,BAD_NUM_MONOMERS
