Chemistry,Monomers
NIPU,"('NCCOCCOCCN', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC')"
NIPU,"('NCCCCCCNC(=O)CC(O)(CC(=O)NCCCCCCN)C(=O)NCCCCCCN', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('NCCCCN', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC')"
NIPU,"('NCc1cccc(CN)c1', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OCCCCOCCCCOC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('NCCCCN', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)OCC2COC(=O)O2)C1CCCCCCCCC(=O)OCC1COC(=O)O1')"
NIPU,"('NCCCOCCOCCCN', 'CCCCCCCCC1OC(=O)OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC)COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('NCCOCCOCCN', 'CCCCCCCCC1OC(=O)OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC)COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCc2cccc(CN)c2)C1CCCCCCCCC(=O)NCc1cccc(CN)c1')"
NIPU,"('NCCCNCCCN', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('NCCCNCCCN', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)OCC2COC(=O)O2)C1CCCCCCCCC(=O)OCC1COC(=O)O1')"
