Chemistry,Molecule,Bond (kcal/mol),Angle (kcal/mol),Proper Torsion (kcal/mol),Improper Torsion (kcal/mol),Nonbonded (kcal/mol),vdW (kcal/mol),Coulomb Short (kcal/mol),Coulomb Long (kcal/mol),Dispersion (kcal/mol),Potential (kcal/mol)
polycarbonate_phosgene,"poly(1,1,1',1'-tetramethyl-3,3'-spirobi[2H-indene]-5,5'-diol-co-Carbonyl dichloride)",173.09788032876514,187.14097466893327,33.84084629876212,0.011582078605808706,-100.04430607656118,38.815314126569604,-10.183109572764735,-128.67651063036607,-0.006428304280010845,294.04697729850517
polyurethane_isocyanate,"poly(1,10-diisocyanatodecane-co-Decane-1,10-diol)",153.53842474662588,208.70933030443263,24.53458961196829,0.005095216490784592,4521265.341854467,4521225.21287794,227.7959236248181,-187.66694709867355,-0.009480642147166601,4521652.129294347
polyurethane_isocyanate,"poly(1,10-diisocyanatodecane-co-octadec-9-ene-1,12-diol)",157.91734122586132,278.78898693171067,40.09085194678764,0.005790274241105355,19996674.724482246,19996655.54203746,215.58878766453213,-196.4063428778477,-0.01593831230774681,19997151.527452625
polyurethane_isocyanate,"poly(1,12-diisocyanatooctadec-9-ene-co-Decane-1,10-diol)",157.50513750974085,276.47497827527235,45.02694438182278,0.017927948222413264,4522779.52430936,4522776.581370664,207.12335386008166,-204.18041516365233,-0.015938312307109275,4523258.549297476
polyurethane_isocyanate,"poly(1,18-diisocyanatooctadecane-co-Decane-1,10-diol)",158.06091373196762,289.7186129306836,42.761318566402075,0.008242421043119029,4498852.804114299,4498814.632851604,242.99702670943742,-204.82576401503238,-0.01624013335355142,4499343.353201949
polyurethane_isocyanate,"poly(1,18-diisocyanatooctadecane-co-icosane-1,20-diol)",164.43014447874475,386.76420830085885,78.4424392106182,0.008242421043141102,490.63708537785834,454.6082017254931,259.504093145457,-223.47520949309168,-0.02723226825896649,1120.2821197891235
polyurethane_isocyanate,"poly(1,3-Bis(isocyanatomethyl)cyclohexane-co-Butane-1,4-diol)",149.64874946575384,132.13624581057815,31.43484240136311,0.0037665396667088194,22643411.988633975,22643381.867246427,200.97177544156605,-170.85038789381792,-0.004392973591548276,22643725.212238193
polyurethane_isocyanate,"poly(1,3-Bis(isocyanatomethyl)cyclohexane-co-[4-(hydroxymethyl)cyclohexyl]methanol)",153.72322858490153,171.80892653070967,47.38432117257656,0.0037665396667153767,148.48981711740205,122.43865875172172,203.5538699314498,-177.50271156576946,-0.006446838513830293,521.4100599452564
polyurethane_isocyanate,"poly(1,4-Diisocyanatocyclohexane-co-HEXANE-1,6-DIOL)",149.6103931810589,130.0938513152643,21.48149303564798,0.024246674326780033,161773.5299307706,161798.2471620624,155.9622342252236,-180.67946551703042,-0.004398793522635097,162074.7399149769
polyurethane_isocyanate,"poly(1,4-Diisocyanatocyclohexane-co-[4-(hydroxymethyl)cyclohexyl]methanol)",152.1358210355192,151.63534427089107,37.1286073570298,0.024246674326812392,1025.057779065591,1035.6748862761024,171.44447353271997,-182.06158074323142,-0.005302590274691132,1365.9817984033577
polyurethane_isocyanate,"poly(1,4-diisocyanatobutane-co-2-(2-hydroxyethyl-phenylamino)ethanol)",174.28127554516504,123.17777766837823,19.127402515297085,0.0038121536699029747,-4.93661880016466,67.3996714537058,169.63792384984993,-241.9742141037204,-0.0054035002973985115,311.65364908234545
