mechanism,polymer_name,directory,n_atoms_in_topology,Density
polyamide,"poly(4-[4-[4-[2-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]-1,1,1,3,3,3-hexafluoropropan-2-yl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-benzene-1,3-dicarboxylic acid)","polymer_update/polyamide/poly(4-[4-[4-[2-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]-1,1,1,3,3,3-hexafluoropropan-2-yl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-benzene-1,3-dicarboxylic acid)/trimer/1x1x1",288,1.23
polyester,"poly(ethane-1,2-diol-co-4-[2-(4-carboxyphenyl)butan-2-yl]benzoic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-4-[2-(4-carboxyphenyl)butan-2-yl]benzoic acid)/trimer/1x1x1",135,1.2
polycarbonate_phosgene,"poly(4-[2,2-dichloro-1-(4-hydroxyphenyl)ethenyl]phenol-co-carbonyl dichloride)","polymer_update/polycarbonate_phosgene/poly(4-[2,2-dichloro-1-(4-hydroxyphenyl)ethenyl]phenol-co-carbonyl dichloride)/trimer/1x1x1",86,1.39
polyamide,"poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-naphthalene-2,6-dicarboxylic acid)","polymer_update/polyamide/poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-naphthalene-2,6-dicarboxylic acid)/trimer/1x1x1",339,1.32
polyester,"poly(butane-1,4-diol-co-terephthalic acid)","polymer_update/polyester/poly(butane-1,4-diol-co-terephthalic acid)/trimer/1x1x1",87,1.31
polycarbonate_phosgene,poly(4-[2-(4-hydroxyphenyl)butan-2-yl]phenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[2-(4-hydroxyphenyl)butan-2-yl]phenol-co-carbonyl dichloride)/trimer/1x1x1,110,1.18
polyester,"poly(ethane-1,2-diol-co-naphthalene-2,7-dicarboxylic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-naphthalene-2,7-dicarboxylic acid)/trimer/1x1x1",87,1.35
polycarbonate_phosgene,poly(4-[1-(4-hydroxyphenyl)cyclohexyl]phenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[1-(4-hydroxyphenyl)cyclohexyl]phenol-co-carbonyl dichloride)/trimer/1x1x1,122,1.212
polyamide,"poly(4-[2-(4-aminophenyl)-1,1,1,3,3,3-hexafluoropropan-2-yl]aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)","polymer_update/polyamide/poly(4-[2-(4-aminophenyl)-1,1,1,3,3,3-hexafluoropropan-2-yl]aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)/trimer/1x1x1",222,1.296
polyamide,"poly(benzene-1,4-diamine-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)","polymer_update/polyamide/poly(benzene-1,4-diamine-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)/trimer/1x1x1",165,1.171
